Title,Company,Location,Link
Business Intelligence & Analytics Manager (Internal /External),Safaricom PLC,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/business-intelligence-analytics-manager-internal-external-at-safaricom-plc-4320510778?position=1&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=0vHDVApkD%2BN%2Bw7a8shSXFw%3D%3D
Financial Analyst,Renew Capital,"Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/financial-analyst-at-renew-capital-4337386363?position=2&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=R3MI1iKsgPn7AMrv%2FLQpwQ%3D%3D
Financial Accountant,Coca-Cola Beverages Africa,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/financial-accountant-at-coca-cola-beverages-africa-4334824175?position=3&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=QJUgpdA7GrSDi2AR%2BODk6w%3D%3D
"Monitoring, Reporting & Verification Coordinator - Ethiopia",BURN,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/monitoring-reporting-verification-coordinator-ethiopia-at-burn-4332068239?position=4&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=kYemCGTAzyq9eFfxaPGnow%3D%3D
Product Manager,Industry Five,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/product-manager-at-industry-five-4259563120?position=5&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=N1MT80eF4Udw1AcYDBuR5w%3D%3D
MEAL Coordinator -NO STEP project,SOS Children's Villages International,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/meal-coordinator-no-step-project-at-sos-children-s-villages-international-4320542931?position=6&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=1DIP71xg8l8xJZN6jJPjDg%3D%3D
"Planning Officer, AU, Addis Ababa, NORCAP",Norwegian Refugee Council,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/planning-officer-au-addis-ababa-norcap-at-norwegian-refugee-council-4332053642?position=7&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=wWM05BR%2FC1HgS6AmtR06Xw%3D%3D
Team Leader-Accounts Payable,Coca-Cola Beverages Africa,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/team-leader-accounts-payable-at-coca-cola-beverages-africa-4333715039?position=8&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=TmNeRIDpYCPoJ0csRdbGMw%3D%3D
Product Manager (Contract 2 Years),EthSwitch,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/product-manager-contract-2-years-at-ethswitch-4108052614?position=9&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=g7bIEdm0s%2FoLzY7PBrPq0Q%3D%3D
"Development Coordination Officer - Rapid Economic Assessments - Temporary, P4 Job ID : 266538",Urban Resilience Hub by UN-Habitat's CRGP,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/development-coordination-officer-rapid-economic-assessments-temporary-p4%0Ajob-id-266538-at-urban-resilience-hub-by-un-habitat-s-crgp-4334294867?position=10&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=IX4fiIyJtUm%2BmpOgWO%2Bdiw%3D%3D
"Associate, Health Financing, Analytics and Digitization","Clinton Health Access Initiative, Inc.","Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/associate-health-financing-analytics-and-digitization-at-clinton-health-access-initiative-inc-4304313988?position=11&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=f%2FQsSRhP9osmTjwl0cSATA%3D%3D
Quality Manager,ABH PARTNERS,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/quality-manager-at-abh-partners-4290856989?position=12&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=%2FRftxFuZ0mjYUnh6H9pODA%3D%3D
Procurement Officer,ABH PARTNERS,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/procurement-officer-at-abh-partners-4263733977?position=13&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=xM7ABc9gNhwL2XNStwjCFw%3D%3D
"Monitoring, Evaluation, and Learning (MEL) Director -- Food for Progress Program (Ethiopia)",ReliefWeb,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/monitoring-evaluation-and-learning-mel-director-food-for-progress-program-ethiopia-at-reliefweb-4315109745?position=14&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=%2BKQasKMgACd9pGhEqCl1Eg%3D%3D
"Senior Meetings Services Assistant, G7 Job ID : 265197",Urban Resilience Hub by UN-Habitat's CRGP,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/senior-meetings-services-assistant-g7%0Ajob-id-265197-at-urban-resilience-hub-by-un-habitat-s-crgp-4332311006?position=15&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=3fyeIkya80UM3kEgTqCiNg%3D%3D
Academic Director ( JU - ABH Partners Joint Program),ABH PARTNERS,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/academic-director-ju-abh-partners-joint-program-at-abh-partners-4242619562?position=16&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=RVSJMeKV%2BVC73s3bIl%2FqFw%3D%3D
Marketing Manager,ABH PARTNERS,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/marketing-manager-at-abh-partners-4267369237?position=17&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=kLDjvVLkveLDOcTvN56hvg%3D%3D
Security and Compliance Manager,TOPPAN Security,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/security-and-compliance-manager-at-toppan-security-4310990932?position=18&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=m16n%2BerHb8o04Zgus9TNuA%3D%3D
Head of Programme Coordination AU,NORCAP - part of the Norwegian Refugee Council,"Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/head-of-programme-coordination-au-at-norcap-part-of-the-norwegian-refugee-council-4333246351?position=19&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=cbbq1j7DQaZ8BkSvXdF%2FqQ%3D%3D
Laboratory Technician,Embur medium clinic,"Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/laboratory-technician-4333528850?position=20&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=DqjSyShrRm6d2318KZZUxg%3D%3D&trk=public_jobs_jserp-result_search-card
Product and Solution Manager,Dahua Technology Co. LTD,"Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/product-and-solution-manager-at-dahua-technology-co-ltd-4319974593?position=21&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=7zuSL%2BTZijXOrQTd0QJ9Fw%3D%3D
Legal Advisor,TOPPAN Security,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/legal-advisor-at-toppan-security-4318878556?position=22&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=BdRdRIVD3XHYUfEOoQnDQg%3D%3D
Program Manager,TechnoServe,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/program-manager-at-technoserve-4311981627?position=23&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=m8yqGTJ6Dqop%2FkLwogQIpQ%3D%3D
Product and Solution Manager,Dahua Technology Co. LTD,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/product-and-solution-manager-at-dahua-technology-co-ltd-4294422668?position=24&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=V6H04Sx%2FGKoSt5beMk5qbw%3D%3D
Renewable Energy Engineer/ Solar Milling Engineer,Winrock International,"Addis Ababa, Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/renewable-energy-engineer-solar-milling-engineer-at-winrock-international-4281384337?position=25&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=LmGi4miT7M4MM3MoV1ncFA%3D%3D
"Monitoring, Evaluation, and Learning (MEL) Director -- Food for Progress Program (Ethiopia)",Global Communities,"Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/monitoring-evaluation-and-learning-mel-director-food-for-progress-program-ethiopia-at-global-communities-4314872644?position=26&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=AQ7%2FJtBlvxSwMpPg4RxBkg%3D%3D
Hydrogeologist,Water Works Design and Supervision Enterprise,"Addis Ababa, Ethiopia",https://et.linkedin.com/jobs/view/hydrogeologist-4275395942?position=27&pageNum=0&refId=ufzgyi%2BHHeAGi9VsnLQwNQ%3D%3D&trackingId=H7IZinPGUDWpbeHWQe5fTw%3D%3D&trk=public_jobs_jserp-result_search-card
